what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260557319917
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260557322565
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260560235256
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1260560274227
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260560333380
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260563794673
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260563797293
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260563821203
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260563822860
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260579158534
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1260579162143
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1260579163818
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1260579165379
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260579169364
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260579172946
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260579175175
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260579179570
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260579180872
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260579213147
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260579224977
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260579227898
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260579233679
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260579239844
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260579247661
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260579247671
