what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264656297731
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264656306661
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264656317571
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1264656345077
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1264656345470
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264656346918
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264656479697
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264656486447
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264656487988
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264656491059
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264656501578
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264656543183
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264656544356
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264656575410
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264656594814
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1264656596214
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264656597655
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264656621084
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264656622799
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264656640333
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264656641715
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264656649535
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264656658896
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264656660457
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264656661422
