what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258765618914
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258766647042
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258766682263
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1258766699538
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1258766701376
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1258766721739
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1258766737750
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258766742235
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258766743489
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258766816573
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1258766819329
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258766864608
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258766892336
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1258767163971
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258767173639
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1258767175573
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1258767177486
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258767381482
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258767400536
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1258767441302
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258767446347
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258767522675
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258767591548
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258767628099
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258767633197
