what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257442121435
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257442136048
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1257442140783
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257442144543
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257442146536
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257442158381
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1257442200824
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1257442203997
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1257442217269
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257442258970
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257442304268
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1257442306001
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257442317741
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257442319508
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257442687984
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257442688114
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257442812876
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257442831998
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257442844534
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257443035016
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257443041214
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257443058107
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257443075350
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257443085437
started,bundle,org.eclipse.mylyn.java.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.ui",1257443102395
