what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1262844708453
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1262844708453
java.vm.version,sysinfo,,,"14.3-b01",1262844708453
started,bundle,org.eclipse.mylyn.team.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.team.ui",1262844708463
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1262844708648
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1262844708670
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1262844709512
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262844710579
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262844712592
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1262844716510
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1262844716562
started,bundle,org.eclipse.equinox.p2.metadata,1.0.100.v20090525,"org.eclipse.equinox.p2.metadata",1262844716770
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262844718824
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1262844720719
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.100.v20090525,"org.eclipse.equinox.p2.updatesite",1262844721654
started,bundle,org.eclipse.equinox.p2.publisher,1.0.0.v20090527-1812,"org.eclipse.equinox.p2.publisher",1262844721686
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.101.R35x_v20090721,"org.eclipse.equinox.p2.artifact.repository",1262844722546
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1262844731346
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,1.0.101.R35x_20090820-1821,"org.eclipse.equinox.p2.touchpoint.eclipse",1262844758955
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262844786407
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1262844786427
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262844786762
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262844794371
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262844831142
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262844831446
