what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258745654285
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258745657377
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258745660708
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1258745660844
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1258745681747
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1258745699310
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1258745701772
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1258745705258
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258745717236
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258745729673
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258745764863
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258745768999
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258745776015
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258745785655
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258745800455
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258745803834
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258745809214
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258745813717
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1258745816179
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1258745829495
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258745839751
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258745843274
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1258745888417
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1258745895760
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1258745907030
