what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257186400242
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257186402339
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1257186402354
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257186403857
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257186421042
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1257186430620
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257186431947
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1257186433210
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257186515260
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257186533630
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257186589419
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257186591686
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257186599649
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257186601731
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1257186603166
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257186606164
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257186607342
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257186610392
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257186612084
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257186618385
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257186618490
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1257186630515
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257186650958
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257186699396
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257186701631
