what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273971377100
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273971379620
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273971385366
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273971398235
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273971408310
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273971417378
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273971467575
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273971469808
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273972157241
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273972157738
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273984651605
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273984653978
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273984657663
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273984657796
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1273984662702
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273984664224
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273984667700
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273984680592
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273984684930
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274029235567
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274029239827
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274029243115
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274029245673
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274029245673
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274029247704
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274029249996
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274029253620
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274030399045
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274030424158
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274050536453
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274050542632
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274050699956
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274072035620
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1274072038043
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274072051586
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274072051771
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1274072103169
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274072106252
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274072151389
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274072170631
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274072216019
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274094006457
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274094013639
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274094013787
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274094037116
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274110105708
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274110110798
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274110287688
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1274110289953
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274110294468
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274110298822
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274110299334
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274110299444
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1274110302381
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1274110302741
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1274110331237
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274110335289
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274110335290
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274110336825
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274110349899
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1274110356142
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274110358351
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274110361316
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274110361928
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274110362093
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1274110365467
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1274110372575
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274110382859
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274144132845
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1274144133000
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274144133729
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274144135628
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274144137296
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274144141002
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1274144142031
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274144143389
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274144145301
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274144145779
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274144145897
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1274144148078
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1274144149028
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1274144182190
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274144183886
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1274144206579
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1274144249385
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274144261259
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274146063235
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274146063369
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274146064659
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274146064846
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274146066524
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274146067451
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1274146068480
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1274146068517
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1274146068568
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1274146068568
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1274146068568
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1274146068568
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1274146068596
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1274146068596
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1274146068648
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1274146068649
stopped,bundle,org.eclipse.mylyn.ide.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ui",1274146068673
stopped,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1274146068673
stopped,bundle,org.eclipse.mylyn.resources.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.resources.ui",1274146068738
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1274146068799
stopped,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1274146068799
stopped,bundle,org.eclipse.mylyn.help.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.help.ui",1274146069198
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1274146069460
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1274146069460
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1274147024099
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1274147024100
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1274147024125
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1274147024127
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1274147024157
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1274147024190
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1274147024220
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1274147024221
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1274147024222
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1274147024225
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1274147024269
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1274147024297
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1274147024299
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1274147024300
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1274147024376
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1274147024397
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1274147024398
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1274147024400
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1274147024433
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1274147024434
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1274147024435
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1274147024459
started,bundle,org.eclipse.equinox.common,3.5.1.R35x_v20090807-1100,"org.eclipse.equinox.common",1274147024461
started,bundle,org.eclipse.equinox.ds,1.1.1.R35x_v20090806,"org.eclipse.equinox.ds",1274147024515
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.100.v20090520-1905,"org.eclipse.equinox.frameworkadmin",1274147024531
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.101.R35x_v20091214,"org.eclipse.equinox.frameworkadmin.equinox",1274147024557
started,bundle,org.eclipse.equinox.p2.core,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.core",1274147024590
started,bundle,org.eclipse.equinox.p2.director,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.director",1274147024620
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20090525,"org.eclipse.equinox.p2.directorywatcher",1274147024643
started,bundle,org.eclipse.equinox.p2.engine,1.0.102.R35x_v20091117,"org.eclipse.equinox.p2.engine",1274147024679
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.exemplarysetup",1274147024680
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.garbagecollector",1274147024681
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.101.R35x_v20090812,"org.eclipse.equinox.p2.metadata.repository",1274147024683
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.reconciler.dropins",1274147024702
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1274147024739
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1274147024770
