what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608505370
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608510845
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608520475
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608521629
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608522171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608526507
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608538171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608539285
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608539816
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608543446
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1273608546263
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608565847
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608566052
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608572278
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608572482
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608577540
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608578975
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608579521
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608581344
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608589119
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608590805
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608591438
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608596923
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608600475
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608601866
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608602424
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608608635
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608623943
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608625498
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608626047
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608630649
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1273608634159
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273608636366
